year,division,station,station_code,offence_code,offence_category,offence_group,incident_count
2003,DMR North Division,Lusk,63103,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",5
2003,DMR North Division,Lusk,63103,07,Burglary and related offences (07),Burglary and related offences,69
2003,DMR North Division,Lusk,63103,08,Theft and related offences (08),Theft and related offences,110
2003,DMR North Division,Lusk,63103,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",0
2003,DMR North Division,Lusk,63103,10,Controlled drug offences (10),Controlled drug offences,8
2003,DMR North Division,Lusk,63103,11,Weapons and explosives offences (11),Weapons and explosives offences,0
2003,DMR North Division,Lusk,63103,12,Damage to property and to the environment  offences (12),Damage to property & environment,41
2003,DMR North Division,Lusk,63103,13,Public order and other social code offences (13),Public order & social code offences,33
2003,DMR North Division,Lusk,63103,14,Road and traffic offences (14),Road and traffic offences,91
2003,DMR North Division,Lusk,63103,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",7
2003,DMR North Division,Lusk,63103,16,Offences not elsewhere classified (16),Offences not elsewhere classified,2
2003,DMR North Division,Skerries,63105,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",32
2003,DMR North Division,Skerries,63105,04,Dangerous or negligent acts (04),Dangerous or negligent acts,38
2003,DMR North Division,Skerries,63105,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2003,DMR North Division,Skerries,63105,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",2
2003,DMR North Division,Skerries,63105,07,Burglary and related offences (07),Burglary and related offences,46
2003,DMR North Division,Skerries,63105,08,Theft and related offences (08),Theft and related offences,76
2003,DMR North Division,Skerries,63105,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",1
2003,DMR North Division,Skerries,63105,10,Controlled drug offences (10),Controlled drug offences,7
2003,DMR North Division,Skerries,63105,11,Weapons and explosives offences (11),Weapons and explosives offences,1
2003,DMR North Division,Skerries,63105,12,Damage to property and to the environment  offences (12),Damage to property & environment,60
2003,DMR North Division,Skerries,63105,13,Public order and other social code offences (13),Public order & social code offences,41
2003,DMR North Division,Skerries,63105,14,Road and traffic offences (14),Road and traffic offences,92
2003,DMR North Division,Skerries,63105,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",3
2003,DMR North Division,Skerries,63105,16,Offences not elsewhere classified (16),Offences not elsewhere classified,2
2003,DMR North Division,Ballymun,63201,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",110
2003,DMR North Division,Ballymun,63201,04,Dangerous or negligent acts (04),Dangerous or negligent acts,100
2003,DMR North Division,Ballymun,63201,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2003,DMR North Division,Ballymun,63201,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",17
2003,DMR North Division,Ballymun,63201,07,Burglary and related offences (07),Burglary and related offences,145
2003,DMR North Division,Ballymun,63201,08,Theft and related offences (08),Theft and related offences,337
2003,DMR North Division,Ballymun,63201,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",23
2003,DMR North Division,Ballymun,63201,10,Controlled drug offences (10),Controlled drug offences,52
2003,DMR North Division,Ballymun,63201,11,Weapons and explosives offences (11),Weapons and explosives offences,31
2003,DMR North Division,Ballymun,63201,12,Damage to property and to the environment  offences (12),Damage to property & environment,231
2003,DMR North Division,Ballymun,63201,13,Public order and other social code offences (13),Public order & social code offences,132
2003,DMR North Division,Ballymun,63201,14,Road and traffic offences (14),Road and traffic offences,305
2003,DMR North Division,Ballymun,63201,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",46
2003,DMR North Division,Ballymun,63201,16,Offences not elsewhere classified (16),Offences not elsewhere classified,8
2003,DMR North Division,Dublin Airport,63202,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",17
2003,DMR North Division,Dublin Airport,63202,04,Dangerous or negligent acts (04),Dangerous or negligent acts,14
2003,DMR North Division,Dublin Airport,63202,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2003,DMR North Division,Dublin Airport,63202,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",4
2003,DMR North Division,Dublin Airport,63202,07,Burglary and related offences (07),Burglary and related offences,6
2003,DMR North Division,Dublin Airport,63202,08,Theft and related offences (08),Theft and related offences,277
2003,DMR North Division,Dublin Airport,63202,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",391
2003,DMR North Division,Dublin Airport,63202,10,Controlled drug offences (10),Controlled drug offences,24
2003,DMR North Division,Dublin Airport,63202,11,Weapons and explosives offences (11),Weapons and explosives offences,6
2003,DMR North Division,Dublin Airport,63202,12,Damage to property and to the environment  offences (12),Damage to property & environment,29
2003,DMR North Division,Dublin Airport,63202,13,Public order and other social code offences (13),Public order & social code offences,40
2003,DMR North Division,Dublin Airport,63202,14,Road and traffic offences (14),Road and traffic offences,53
2003,DMR North Division,Dublin Airport,63202,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",3
2003,DMR North Division,Dublin Airport,63202,16,Offences not elsewhere classified (16),Offences not elsewhere classified,45
2003,DMR North Division,Santry,63203,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",64
2003,DMR North Division,Santry,63203,04,Dangerous or negligent acts (04),Dangerous or negligent acts,156
2003,DMR North Division,Santry,63203,05,Kidnapping and related offences (05),Kidnapping and related offences,1
2003,DMR North Division,Santry,63203,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",54
2003,DMR North Division,Santry,63203,07,Burglary and related offences (07),Burglary and related offences,368
2003,DMR North Division,Santry,63203,08,Theft and related offences (08),Theft and related offences,899
2003,DMR North Division,Santry,63203,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",54
2003,DMR North Division,Santry,63203,10,Controlled drug offences (10),Controlled drug offences,72
2003,DMR North Division,Santry,63203,11,Weapons and explosives offences (11),Weapons and explosives offences,20
2003,DMR North Division,Santry,63203,12,Damage to property and to the environment  offences (12),Damage to property & environment,364
2003,DMR North Division,Santry,63203,13,Public order and other social code offences (13),Public order & social code offences,276
2003,DMR North Division,Santry,63203,14,Road and traffic offences (14),Road and traffic offences,727
2003,DMR North Division,Santry,63203,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",43
2003,DMR North Division,Santry,63203,16,Offences not elsewhere classified (16),Offences not elsewhere classified,15
2003,DMR North Division,Coolock,63301,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",95
